month,channel,spend,clicks,conversions,revenue
2025-01,Google Ads,9000.0,72812,5824,931840
2025-01,LinkedIn,5600.0,46041,2302,462702
2025-01,Email,1200.0,10987,1538,244542
2025-01,TikTok,2400.0,19479,389,64963
2025-02,Google Ads,9000.0,72861,5828,932480
2025-02,LinkedIn,5600.0,45144,2257,453657
2025-02,Email,1200.0,10955,1533,243747
2025-02,TikTok,2400.0,19274,385,64295
2025-03,Google Ads,9000.0,72260,5780,924800
2025-03,LinkedIn,5600.0,44852,2242,450642
2025-03,Email,1200.0,10471,1465,232935
2025-03,TikTok,2400.0,19532,390,65130
2025-04,Google Ads,9000.0,72803,5824,931840
2025-04,LinkedIn,5600.0,45334,2266,455466
2025-04,Email,1200.0,9809,1373,218307
2025-04,TikTok,2400.0,20164,403,67301
2025-05,Google Ads,9000.0,72309,5784,925440
2025-05,LinkedIn,5600.0,46260,2313,464913
2025-05,Email,1200.0,9697,1357,215763
2025-05,TikTok,2400.0,19537,390,65130
2025-06,Google Ads,9000.0,72771,5821,931360
2025-06,LinkedIn,5600.0,46127,2306,463506
2025-06,Email,1200.0,10145,1420,225780
2025-06,TikTok,2400.0,19696,393,65631
2025-07,Google Ads,9000.0,73031,5842,934720
2025-07,LinkedIn,5600.0,45825,2291,460491
2025-07,Email,1200.0,10016,1402,222918
2025-07,TikTok,2400.0,20167,403,67301
2025-08,Google Ads,9000.0,72405,5792,926720
2025-08,LinkedIn,5600.0,45655,2282,458682
2025-08,Email,1200.0,9712,1359,216081
2025-08,TikTok,2400.0,20670,413,68971
2025-09,Google Ads,9000.0,73142,5851,936160
2025-09,LinkedIn,5600.0,45386,2269,456069
2025-09,Email,1200.0,10771,1507,239613
2025-09,TikTok,2400.0,20415,408,68136
2025-10,Google Ads,9000.0,73002,5840,934400
2025-10,LinkedIn,5600.0,45606,2280,458280
2025-10,Email,1200.0,9759,1366,217194
2025-10,TikTok,2400.0,19703,394,65798
2025-11,Google Ads,9000.0,72764,5821,931360
2025-11,LinkedIn,5600.0,44822,2241,450441
2025-11,Email,1200.0,10729,1502,238818
2025-11,TikTok,2400.0,19747,394,65798
2025-12,Google Ads,9000.0,73400,5872,939520
2025-12,LinkedIn,5600.0,46085,2304,463104
2025-12,Email,1200.0,9968,1395,221805
2025-12,TikTok,2400.0,19704,394,65798
